PLAYER,TEAM,METRIC,SEASON_AVG,H2H_AVG,DELTA,SEASON_N,H2H_N
Shai Gilgeous-Alexander,OKC,MIN,33.21980392156863,35.46625,2.246446078431376,68,4
Shai Gilgeous-Alexander,OKC,PTS,31.13235294117647,29.5,-1.632352941176471,68,4
Shai Gilgeous-Alexander,OKC,REB,4.294117647058823,4.5,0.20588235294117663,68,4
Shai Gilgeous-Alexander,OKC,AST,6.588235294117647,5.5,-1.0882352941176467,68,4
Shai Gilgeous-Alexander,OKC,TOV,2.2205882352941178,2.25,0.02941176470588225,68,4
Shai Gilgeous-Alexander,OKC,USG_PCT,0.32125,0.318,-0.003249999999999975,68,4
Shai Gilgeous-Alexander,OKC,TS_PCT,0.6820882352941177,0.587,-0.0950882352941177,68,4
Shai Gilgeous-Alexander,OKC,EFG_PCT,0.61875,0.52425,-0.09450000000000003,68,4
Shai Gilgeous-Alexander,OKC,OFF_RATING,122.31323529411765,116.19999999999999,-6.113235294117658,68,4
Shai Gilgeous-Alexander,OKC,DEF_RATING,104.78088235294118,117.57499999999999,12.794117647058812,68,4
Shai Gilgeous-Alexander,OKC,NET_RATING,17.538235294117644,-1.4000000000000004,-18.938235294117646,68,4
Shai Gilgeous-Alexander,OKC,PLUS_MINUS,11.588235294117649,-0.25,-11.838235294117649,68,4
Victor Wembanyama,SAS,MIN,29.150755208333333,25.13566666666667,-4.015088541666664,64,5
Victor Wembanyama,SAS,PTS,25.0,18.4,-6.600000000000001,64,5
Victor Wembanyama,SAS,REB,11.5,9.2,-2.3000000000000007,64,5
Victor Wembanyama,SAS,AST,3.109375,2.0,-1.109375,64,5
Victor Wembanyama,SAS,TOV,2.421875,2.8,0.3781249999999998,64,5
Victor Wembanyama,SAS,USG_PCT,0.318875,0.3088,-0.010075,64,5
Victor Wembanyama,SAS,TS_PCT,0.623796875,0.5996,-0.024196875000000007,64,5
Victor Wembanyama,SAS,EFG_PCT,0.570625,0.5692,-0.0014250000000000096,64,5
Victor Wembanyama,SAS,OFF_RATING,121.0796875,118.55999999999999,-2.5196875000000176,64,5
Victor Wembanyama,SAS,DEF_RATING,102.6875,98.88,-3.8075000000000045,64,5
Victor Wembanyama,SAS,NET_RATING,18.4015625,19.72,1.3184374999999982,64,5
Victor Wembanyama,SAS,PLUS_MINUS,10.65625,10.0,-0.65625,64,5
