SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22025,1610612760,OKC,Oklahoma City Thunder,0022501230,2025-12-13,SAS @ OKC,L,240,109,38,92,0.413,9,37,0.243,24,27,0.889,14,37,51,20,13,4,14,25,-2.0
22025,1610612759,SAS,San Antonio Spurs,0022501230,2025-12-13,SAS @ OKC,W,241,111,37,90,0.411,13,42,0.31,24,32,0.75,15,37,52,21,9,6,19,23,2.0
22025,1610612760,OKC,Oklahoma City Thunder,0022500417,2025-12-23,OKC @ SAS,L,239,110,46,85,0.541,12,30,0.4,6,7,0.857,9,27,36,23,5,1,13,17,-20.0
22025,1610612759,SAS,San Antonio Spurs,0022500417,2025-12-23,SAS vs. OKC,W,239,130,48,84,0.571,16,36,0.444,18,24,0.75,10,24,34,34,10,3,9,13,20.0
22025,1610612760,OKC,Oklahoma City Thunder,0022500010,2025-12-25,OKC vs. SAS,L,242,102,37,95,0.389,11,44,0.25,17,25,0.68,16,32,48,23,7,6,7,18,-15.0
22025,1610612759,SAS,San Antonio Spurs,0022500010,2025-12-25,SAS @ OKC,W,239,117,45,84,0.536,11,29,0.379,16,21,0.762,10,39,49,20,3,4,12,16,15.0
22025,1610612760,OKC,Oklahoma City Thunder,0022500568,2026-01-13,OKC vs. SAS,W,239,119,42,81,0.519,11,30,0.367,24,27,0.889,5,38,43,26,7,11,11,23,21.0
22025,1610612759,SAS,San Antonio Spurs,0022500568,2026-01-13,SAS @ OKC,L,241,98,34,85,0.4,13,37,0.351,17,24,0.708,12,30,42,21,4,3,11,25,-21.0
22025,1610612760,OKC,Oklahoma City Thunder,0022500730,2026-02-04,OKC @ SAS,L,240,106,37,93,0.398,19,47,0.404,13,14,0.929,9,37,46,26,10,9,14,16,-10.0
22025,1610612759,SAS,San Antonio Spurs,0022500730,2026-02-04,SAS vs. OKC,W,239,116,45,101,0.446,14,42,0.333,12,20,0.6,18,45,63,26,11,8,12,15,10.0
